negative,ibd lying about terrorist attack sole hillary accomplishment
positive,hate stand for charlie but trump way more crazier seriously
positive,nah its cause you voted for trump its ironic tho cause bonnie had grip you pussy
positive,"thats why=trump any1..say nothing,=let them it,=who cares not gonna stop january 20th right"
negative,the potus doesn't get decide that the peotus definitely doesn't get decide that this
positive,enjoy years glorious trump muted
negative,deputy director the nsa thinks rudy giuliani twitter
positive,democrat counter-coup against trump progress there's war for your mind ahead play your hand
negative,the potus doesn't get decide that the peotus definitely doesn't get decide that this
positive,i'm just messing with you politics got you tense can understand doe have nice evening
negative,epic hour overnight challenge trump tower houur overnight sneaking into trump tower
positive,electrify your trump sign for instant justice
negative,much would give anything for her push out trump its gonna long shot sadly
negative,ibd why won't hillary get prosecuted like david petraeus
positive,hear and respect you humbly ask you read some these and consider
negative,ibd hillary's unindicted email co-conspirator 999
negative,the potus doesn't get decide that the peotus definitely doesn't get decide that this
negative,this true and it's working
positive,elliott cant quite that far dear democrats screw plenty
negative,ibd hillary's unindicted email co-conspirator 999
negative,trump's rhetoric reached around the world gay men attacked syd's inner west violent trump supporter
positive,jules thought this might interest you
negative,ibd lying about libya terrorist attack sole hillary accomplishment
positive,deleted the hillary pic sorry for ruining everyone's dinner
negative,ibd lying about libya terrorist attack sole hillary accomplishment
negative,ibd why wont hillary get prosecuted like david petraeus
negative,deputy director the nsa thinks rudy giuliani twitter
positive,what difference month makes
negative,ibd why wont hillary get prosecuted like david petraeus
negative,ibd why wont hillary get prosecuted like david petraeus
positive,democrat counter-coup against trump progress there's war for your mind ahead play your hand
positive,recount lol trump our president horrified hillary best yet come
positive,wait until trump gives his first press conference assuming does one
negative,just got emo cuz kno glenn would've voted for hillary
negative,35/75 clinton were later linked intentionally inciting violence trump rallies let that sink
positive,sorry safe spacer enjoy years glorious trump muted
negative,donald trump claiming whatever wants fact dangerous
negative,ibd lying about libya terrorist attack sole hillary accomplishment
positive,hillary might want demand the same drudge
negative,ibd why wont hillary get prosecuted like david petraeus
negative,key point trump's campaign was bet u.s.a not outsourcing romney's biz record inconsistent with vision
negative,ibd hillary clinton email gaps hide pay for play truth
negative,deputy director the nsa thinks rudy giuliani twitter
positive,it's question that never seems away america(n first
positive,epic tweet but don't underestimate trump his tweets are intended serve calculated purpose
negative,ibd hillary clinton email gaps hide pay for play truth
negative,ibd hillary clinton email gaps hide pay for play truth
positive,recount lol trump our president horrified hillary best yet come
positive,thanks very much holly
negative,ibd hillary clinton email gaps hide pay for play truth
positive,you must new twitter
positive,never seen you tweet much politics pre-election glad you're exercising your megaphone
negative,ibd why wont hillary get prosecuted like david petraeus 999
negative,ibd why wont hillary get prosecuted like david petraeus
positive,recount lol trump our president horrified hillary best yet come
negative,ibd hillary's unindicted email co-conspirator 999
negative,ibd hillary clinton email gaps hide pay for play truth
negative,hates this kind thing he's semi open yet
positive,laughing good
negative,trump deviously chicken tendies you idiot child think wants tendies smart reads lot books he's
negative,deputy director the nsa thinks rudy giuliani twitter
positive,did donald trump really tweet this pls
positive,hello america unhinged mimi_ftw
negative,well they got into with trump got into with people voting for abbott
positive,thank you lots scared trump trolls here they come out droves when trump calls them distract pivot
negative,owww tommy you are following melania trump i'm jelaous don't love you anymore kidding adore you
negative,the million american voters who actually bothered read his plan sigh unison
positive,please have silly sam harris your show debate politics....please one time the fans are begging for this
negative,lord have mercy
positive,longer threat
negative,ibd hillary clinton ignored nigeria's terrorist group
positive,yoohoo calling all delta passengers aka hillary bitches this one's for you found out who prince
positive,not true just want systemic and traceable back trump don't care who
positive,yoohoo calling all delta passengers aka hillary bitches this one's for you found out who prince
positive,deleted the hillary pic sorry for ruining everyone's dinner
positive,yoohoo calling all delta passengers aka hillary bitches this one's for you found out who prince
negative,ibd hillary clinton email gaps hide pay for play truth
positive,deleted the hillary pic sorry for ruining everyone's dinner
negative,ibd hillary clinton email gaps hide pay for play truth
